token,fold,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90
MOODENG,12,0.01706243183106275,0.03285907491811058,0.030185508920041293,0.022174937005048256,0.012562517579603376
MOODENG,13,0.013878612424539916,0.03287817361839293,0.03021405898982236,0.024165198646106945,0.01867797936293392
MOODENG,14,0.004341812669255074,0.019751332905450086,0.02710201053118585,0.019175661561871695,0.014607214437887713
MOODENG,15,0.010479833255140047,0.017305191380857135,0.020433959751088304,0.01601370632050932,0.01120237959484701
MOODENG,16,0.009903078328381486,0.013650658927133375,0.026903185027398035,0.021330304852871847,0.01326663659410933
MOODENG,17,0.021756102766991563,0.03990042285296297,0.05604263648437558,0.05579298745278372,0.04851545092438516
MOODENG,18,0.029921662232415044,0.045129658458130245,0.051251907747859926,0.03282783818255788,0.015275127743010292
MOODENG,19,0.01578512668587592,0.02128037277314988,0.021536015226494676,0.01730089378468682,0.010584901422014395
MOODENG,20,0.024509670009987595,0.040582997176588344,0.04281165720215913,0.024127088898875645,0.014178630625024072
MOODENG,21,0.04215207424668745,0.08331106039673782,0.12439992997090989,0.15621367338143957,0.15959321245668964
MOODENG,22,0.027469846576251362,0.04552883069519841,0.061114333131475025,0.058084708910560584,0.03308455213392431
MOODENG,23,0.011743122884903224,0.013866548411487685,0.026661741193234015,0.024703412802829183,0.013544693412355363
MOODENG,24,0.011936623899566977,0.015582662938110317,0.016376665014874968,0.019025095779927056,0.0110875150715608
PONKE,0,0.014000208115948763,0.015450496395283932,0.014960784787474252,0.02527363642238487,0.022835111488813814
PONKE,1,0.020033713430286756,0.025870341269482417,0.021672657868462394,0.017880984229920342,0.01816930760435202
PONKE,2,0.01478472227744712,0.016912642855115283,0.0078452750017177,0.021009062749131252,0.019369709172023724
PONKE,3,0.006118702686039709,0.013045617505435326,0.030154080803853053,0.027788642477269292,0.020330436650810822
PONKE,4,0.0149195104438641,0.020787570376919414,0.014678005032939779,0.009053437848816534,0.011124429604501046
PONKE,5,0.016921156850245343,0.012684594408385158,0.024262379028463166,0.019142962353642688,0.012323370213742808
PONKE,6,0.008885618724670757,0.008330578195528198,0.024545587413696696,0.02056801060638226,0.016156919259750543
PONKE,7,0.015851704334926508,0.020835962888075946,0.019206186077303233,0.015963272898454273,0.009754034010823587
PONKE,8,0.01254665752764156,0.01746098259383105,0.02142803595781632,0.009756527843913712,0.009295951037052315
PONKE,9,0.007336035527453426,0.006482561534799221,0.01828605265740941,0.01965686626443923,0.01253488160345337
PONKE,10,0.01059322076471605,0.014697773440125995,0.007922367856382171,0.009288269116875022,0.009068250852970314
PONKE,11,0.018716271165892345,0.0328873914878201,0.049026387066424613,0.04321058339194966,0.016010367102049464
PONKE,12,0.025399117350916392,0.051367355584941606,0.07723883875572296,0.08407079344479818,0.029969633659942835
PONKE,13,0.012373574520025589,0.019054681452783044,0.03190145993764238,0.027904896759613884,0.01600034376509051
PONKE,14,0.00981608948457824,0.02201247650599117,0.023837427643144535,0.015710036641313988,0.012568746684472167
PONKE,15,0.00590599487092925,0.009378911052248343,0.021113447656724182,0.023733521422046714,0.015388395946343026
PONKE,16,0.033919651242300015,0.07083051064879635,0.12386296009858912,0.15880726902027287,0.15836506061598124
PONKE,17,0.030970594746867964,0.06459525231463174,0.11238548148235793,0.11566868473708332,0.10516327471229216
PONKE,18,0.01764405297900172,0.028333759442219105,0.03284344713192101,0.022578798272927223,0.0180535582174029
PONKE,19,0.017629631915182156,0.03764753283100218,0.042240655865945775,0.036800737607752536,0.022110363038947645
PONKE,20,0.00996743502680853,0.025024146188983076,0.03487124132393509,0.024657246125420182,0.015016668738360205
PONKE,21,0.012615380556643928,0.01762058410196062,0.012883429988118608,0.013806338017871414,0.014507191540622763
PONKE,22,0.012834829079178017,0.02309960028444411,0.034078204110638256,0.031171690788717222,0.02638571143794755
PONKE,23,0.011279737849384597,0.024459149372890635,0.027451369125053405,0.026837915664198395,0.018090946530313578
PONKE,24,0.011884883785339069,0.03320491445739191,0.042101407858790525,0.033294577878729366,0.021303268560736135
POPCAT,0,0.012789875360709845,0.01719726928449942,0.01741544166763445,0.024263567360601656,0.01905145395878227
POPCAT,1,0.020115861025461607,0.030576118608323072,0.022013323111333905,0.008709620319898338,0.016010757205084387
POPCAT,2,0.015790578429151183,0.022735942704167535,0.028570480298180583,0.030706812151124172,0.02321559486086598
POPCAT,3,0.022303306097878547,0.03651572687463661,0.058772934482166445,0.029405742368765492,0.015701381049542846
POPCAT,4,0.015085502659143185,0.024205386427744318,0.01628240955819709,0.0269165713137218,0.021318572728790935
POPCAT,5,0.016752700084659098,0.0442098904106727,0.05942423334125099,0.03869927943552304,0.02056043544408425
POPCAT,6,0.010369527541957494,0.012355807715059073,0.022070353097932954,0.029885147576509133,0.02014789041216526
POPCAT,7,0.019053023488546705,0.026876594316231277,0.043951417388556326,0.026805538825923885,0.014811984681687854
POPCAT,8,0.025620629884522583,0.040922958461675464,0.05518199858520725,0.024331091320493128,0.014313086665882387
POPCAT,9,0.01392674483305773,0.014205856877175528,0.016958182845266817,0.03533109037679891,0.02538332747872715
POPCAT,10,0.01551422900799502,0.020073438269608397,0.02553495795176751,0.03076458546110386,0.021233245711740418
POPCAT,11,0.028678238486548265,0.04169978749767048,0.03718524776950962,0.010380775435855912,0.011431469390199836
POPCAT,12,0.015277417969006717,0.014203278727242917,0.023641170309518945,0.03381447968401587,0.02388837840399567
POPCAT,13,0.008833408263209046,0.01737069544712443,0.027309594528767158,0.028518962624506896,0.018631007341509864
POPCAT,14,0.015846183159155668,0.02908846004993133,0.0301561632127756,0.02027129207533137,0.01165560563366969
POPCAT,15,0.013624971512087357,0.023682689173799714,0.02906288332570643,0.012901678537961264,0.011826478689830236
POPCAT,16,0.014960471001595388,0.022452682338514916,0.02001594138241365,0.01998003350506219,0.014845896709118943
POPCAT,17,0.06358331965664217,0.14057810629264286,0.2279866598484133,0.2718519683591634,0.2888268748803418
