model,token,tau,pinball_mean,pinball_se,coverage80,coverage90,width80_mean,width90_mean,n_obs
QRF_v3,POPCAT,0.9,0.027460824299331592,0.004828091027946704,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
QRF_v3,POPCAT,0.95,0.02216711766433072,0.00500765618701367,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
QRF_v3,Pnut,0.05,0.011078466157920004,0.0019185636168466262,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,Pnut,0.1,0.016927664491781645,0.002210276172101392,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,Pnut,0.25,0.02568446830095746,0.0025011159435946277,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,Pnut,0.5,0.033123470939381255,0.002938699000531758,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,Pnut,0.75,0.028925320332985793,0.0033871622252935126,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,Pnut,0.9,0.01842518176713381,0.003056044321672284,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,Pnut,0.95,0.0134048586002889,0.0030619208128298773,0.7133333333333334,0.78,0.17025497658525132,0.21970182714036127,150
QRF_v3,RETARDIO,0.05,0.011206786794586109,0.0013146982064345003,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,RETARDIO,0.1,0.0170021018343569,0.001368738302737886,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,RETARDIO,0.25,0.029704394015487627,0.001855998833210286,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,RETARDIO,0.5,0.04178176105324666,0.00280505485948174,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,RETARDIO,0.75,0.03285960456896179,0.0032481232229878833,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,RETARDIO,0.9,0.024226416451009796,0.0036587926462336314,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,RETARDIO,0.95,0.01905126393636646,0.003762307360372055,0.6666666666666666,0.7333333333333333,0.16454838075176847,0.2111269529743413,210
QRF_v3,Ray,0.05,0.006078626358555147,0.0005647318094162117,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,Ray,0.1,0.009774847718003719,0.0008503854914356789,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,Ray,0.25,0.01659961081614284,0.0011984666438364943,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,Ray,0.5,0.021089766837852582,0.0013424748401718466,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,Ray,0.75,0.015560417663668523,0.001120619527652351,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,Ray,0.9,0.00960594865980045,0.000888730720414596,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,Ray,0.95,0.005721674009309798,0.0005848725430677403,0.7133333333333334,0.78,0.11513807425252429,0.15087580013103596,150
QRF_v3,SIGMA,0.05,0.008874766630116241,0.0012915780042045365,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,SIGMA,0.1,0.013452492057515156,0.0013905922919306864,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,SIGMA,0.25,0.023681705918600138,0.001656175576037876,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,SIGMA,0.5,0.0349056355970303,0.002249821486363272,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,SIGMA,0.75,0.02204054997787443,0.0019663801070366155,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,SIGMA,0.9,0.015420530955829782,0.0018754825145842686,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,SIGMA,0.95,0.00970369331727957,0.0011327840589999128,0.66,0.7466666666666667,0.1459712366317917,0.1941811387492864,150
QRF_v3,UFD,0.05,0.025459060402368096,0.004539016940580515,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,UFD,0.1,0.0344794932467907,0.00464556275642393,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,UFD,0.25,0.04703026608202607,0.0051355080454432355,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,UFD,0.5,0.06220633161673581,0.005938822992982237,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,UFD,0.75,0.04477963404516841,0.00607173913317495,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,UFD,0.9,0.02899057650259062,0.004692106249811315,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,UFD,0.95,0.016815767705457268,0.0033702200405266018,0.6583333333333333,0.75,0.30294516463982774,0.393559932929425,120
QRF_v3,ZEREBRO,0.05,0.015614452265253613,0.002221926414292936,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
QRF_v3,ZEREBRO,0.1,0.02627753807145536,0.0036098942765829495,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
QRF_v3,ZEREBRO,0.25,0.04916863639634417,0.007964885797106224,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
QRF_v3,ZEREBRO,0.5,0.08024572910207736,0.01553769987426513,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
QRF_v3,ZEREBRO,0.75,0.09349840473986316,0.022703965958303655,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
QRF_v3,ZEREBRO,0.9,0.0935134723731805,0.02636480488850499,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
QRF_v3,ZEREBRO,0.95,0.08641197549188649,0.02692357730189491,0.68,0.7466666666666667,0.3194909725766666,0.43893061823343715,150
